plot,veg_type,date,observer,species,plant,stage,flower_stalk,longest_leaf,new_growth,corner,soil_moisture,active_layer,notes
PS4,KOM,24-Jul-16,Isla,SALARC,6,P4 - Date onset of seed dispersal on females,NA,58,16,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,ARCLAT,1,P2 - Date green stem/leaves growing,NA,141,NA,NA,NA,NA,This is P4
PS4,KOM,15-Jul-16,Isla,ARCLAT,2,P2 - Date green stem/leaves growing,NA,135,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,ARCLAT,3,P2 - Date green stem/leaves growing,NA,169,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,ARCLAT,4,P2 - Date green stem/leaves growing,129,165,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,ARCLAT,5,P2 - Date green stem/leaves growing,NA,120,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,ARCLAT,6,P4 - Date first pollen visible (yellow anthers),NA,177,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,DRYINT,1,P4 - Date last petal shed,45,20,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,DRYINT,2,P4 - Date last petal shed,37,21,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,DRYINT,3,P4 - Date last petal shed,36,28,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,DRYINT,4,P5 - Date first twisting of filaments on seed heads,86,22,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,DRYINT,5,P4 - Date last petal shed,41,19,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,DRYINT,6,P5 - Date first twisting of filaments on seed heads,115,22,NA,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,NA,NA,NA,NA,NA,NA,NE,34.5,38.1,NA
PS4,KOM,15-Jul-16,Isla,NA,NA,NA,NA,NA,NA,NW,32.3,37.8,NA
PS4,KOM,15-Jul-16,Isla,NA,NA,NA,NA,NA,NA,SW,21.6,33.7,NA
PS4,KOM,15-Jul-16,Isla,NA,NA,NA,NA,NA,NA,SE,43.2,35.4,NA
PS4,KOM,15-Jul-16,Isla,SALARC,1,P2 - Date first leaf bud burst,NA,39,23,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,SALARC,2,P2 - Date first leaf bud burst,NA,44,28,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,SALARC,3,P2 - Date first leaf bud burst,NA,55,61,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,SALARC,4,P2 - Date first leaf bud burst,NA,44,24,NA,NA,NA,NA
PS4,KOM,15-Jul-16,Isla,SALARC,5,P3 - Date first pollen visible on males,NA,43,12,NA,NA,NA,Female catkin fully developed
PS4,KOM,15-Jul-16,Isla,SALARC,6,P3 - Date first pollen visible on males,NA,54,16,NA,NA,NA,Female catkin fully developed
PS4,KOM,08-Jul-16,Jakob,ARCLAT,1,P2 - Date green stem/leaves growing,NA,161,NA,NA,NA,NA,NA
PS4,KOM,08-Jul-16,Jakob,ARCLAT,2,P2 - Date green stem/leaves growing,NA,132,NA,NA,NA,NA,NA
PS4,KOM,08-Jul-16,Jakob,ARCLAT,3,P2 - Date green stem/leaves growing,NA,157,NA,NA,NA,NA,NA
PS4,KOM,08-Jul-16,Jakob,ARCLAT,4,P2 - Date green stem/leaves growing,NA,142,NA,NA,NA,NA,NA
PS4,KOM,08-Jul-16,Jakob,ARCLAT,5,P2 - Date green stem/leaves growing,NA,113,NA,NA,NA,NA,NA
